label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1693,34.6,0.02,9.64,-5.07,0.13,-359.51,31.2,20.3
vol_velocity,4845,33.3,-0.48,8.65,-5.04,-4.48,-2434.99,27.4,16.3
vol_expansion,17210,32.9,-0.72,9.19,-5.58,-11.82,-13390.27,26.6,15.3
rsi_ignition,5047,31.7,-0.81,8.79,-5.27,-7.8,-4256.11,25.1,14.0
macd_crossover,4091,29.9,-1.01,8.44,-5.05,-9.27,-4140.69,24.2,14.5
rs_acceleration,9622,30.0,-1.02,9.42,-5.49,-13.37,-10435.53,28.0,18.0
trend_strong,40480,29.6,-1.03,8.77,-5.15,-28.91,-41919.02,25.7,15.4
atr_expanding,34291,29.3,-1.06,10.03,-5.65,-24.61,-36582.67,26.9,15.9
cmf,34856,29.7,-1.09,8.24,-5.03,-29.21,-38270.85,23.1,13.4
rsi_divergence,8368,29.5,-1.1,8.87,-5.28,-14.04,-9520.17,25.3,14.8
stealth_accum,16185,30.1,-1.1,7.02,-4.6,-22.54,-17775.81,20.5,10.7
rsi_in_zone,57223,29.8,-1.11,8.32,-5.11,-37.86,-64029.8,22.9,13.0
bb_squeeze,29904,28.9,-1.12,8.01,-4.83,-30.12,-33634.8,23.5,13.1
macd_turning,10802,29.3,-1.13,8.7,-5.21,-16.42,-12659.87,23.5,14.0
declining_sell_vol,40649,29.1,-1.21,8.49,-5.18,-34.57,-49379.04,23.0,13.4
rs_vs_btc,28032,27.2,-1.42,9.36,-5.44,-31.71,-40096.02,24.7,14.6
higher_lows,15580,24.7,-1.79,8.69,-5.23,-33.43,-28962.49,21.8,12.3
