label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1693,34.7,0.02,9.63,-5.07,0.12,-322.38,31.2,20.2
vol_velocity,4844,33.2,-0.47,8.68,-5.02,-4.37,-2387.35,27.4,16.4
vol_expansion,17205,32.8,-0.74,9.19,-5.59,-12.14,-13255.93,26.6,15.3
rsi_ignition,5067,31.7,-0.82,8.77,-5.28,-7.92,-4321.05,25.0,13.9
macd_crossover,4088,29.9,-1.01,8.47,-5.05,-9.26,-4203.38,24.1,14.6
trend_strong,40408,29.6,-1.03,8.77,-5.15,-28.95,-42481.44,25.7,15.4
rs_acceleration,9602,29.9,-1.03,9.42,-5.49,-13.38,-10111.38,28.0,18.0
rsi_divergence,8359,29.9,-1.08,8.81,-5.29,-13.73,-9169.24,25.3,14.8
atr_expanding,34331,29.1,-1.08,10.04,-5.65,-25.17,-37772.43,26.8,15.9
stealth_accum,16141,30.2,-1.09,7.01,-4.6,-22.4,-18137.86,20.5,10.7
cmf,34883,29.8,-1.09,8.22,-5.03,-29.34,-39327.42,23.1,13.4
rsi_in_zone,57122,29.8,-1.11,8.31,-5.12,-37.92,-65212.68,22.9,13.0
bb_squeeze,29883,29.1,-1.11,7.94,-4.83,-29.95,-33742.82,23.4,13.1
macd_turning,10812,29.3,-1.14,8.71,-5.21,-16.61,-12737.62,23.4,14.0
declining_sell_vol,40585,29.1,-1.21,8.49,-5.18,-34.65,-50081.76,22.9,13.4
rs_vs_btc,27989,27.2,-1.43,9.35,-5.44,-31.82,-40865.3,24.6,14.6
higher_lows,15568,24.7,-1.8,8.69,-5.24,-33.73,-29390.89,21.8,12.3
