label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1617,34.0,-0.07,9.75,-5.12,-0.37,-305.33,30.7,20.0
vol_velocity,4644,32.4,-0.55,8.78,-5.03,-4.99,-2643.65,27.1,16.0
vol_expansion,16404,32.4,-0.8,9.23,-5.61,-12.84,-13702.41,26.3,15.0
rsi_ignition,4849,31.1,-0.87,8.91,-5.3,-8.23,-4456.46,25.1,13.8
macd_crossover,3921,29.4,-1.04,8.61,-5.05,-9.33,-4103.4,24.3,14.6
trend_strong,38923,29.3,-1.07,8.82,-5.16,-29.54,-42157.16,25.6,15.4
stealth_accum,15497,29.8,-1.11,7.13,-4.61,-22.23,-17262.7,20.7,10.9
cmf,33686,29.5,-1.11,8.3,-5.05,-29.37,-38202.74,23.1,13.5
rs_acceleration,9321,29.3,-1.12,9.48,-5.51,-14.44,-10904.63,27.6,17.7
atr_expanding,33571,28.9,-1.12,10.07,-5.66,-25.74,-37977.83,26.7,15.7
rsi_in_zone,55078,29.2,-1.17,8.42,-5.13,-39.2,-65136.88,23.0,13.1
bb_squeeze,28659,28.4,-1.17,8.04,-4.82,-30.93,-33745.05,23.4,13.1
rsi_divergence,7965,28.7,-1.2,8.94,-5.29,-15.02,-9910.43,25.1,14.6
macd_turning,10439,28.7,-1.2,8.78,-5.21,-17.2,-12695.2,23.3,13.9
declining_sell_vol,39027,28.5,-1.26,8.57,-5.2,-35.49,-49944.47,22.9,13.4
rs_vs_btc,26895,27.0,-1.44,9.47,-5.47,-31.35,-39115.87,24.7,14.6
higher_lows,15094,24.7,-1.81,8.69,-5.26,-33.27,-28366.7,21.8,12.5
