label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1499,33.7,-0.13,9.66,-5.1,-0.64,-312.22,30.2,19.7
vol_velocity,4352,33.0,-0.54,8.54,-5.02,-4.75,-2564.1,26.5,15.9
vol_expansion,15250,32.6,-0.82,9.09,-5.6,-12.68,-13110.13,25.8,14.9
rsi_ignition,4518,31.3,-0.91,8.75,-5.3,-8.31,-4374.52,24.8,13.5
macd_crossover,3666,29.6,-1.05,8.4,-5.02,-9.18,-3980.78,23.9,14.2
stealth_accum,14556,30.5,-1.06,6.96,-4.58,-20.8,-16764.59,20.4,10.8
trend_strong,35895,29.5,-1.09,8.68,-5.17,-28.95,-39642.23,25.2,15.2
cmf,31209,29.6,-1.12,8.17,-5.03,-28.7,-36848.43,22.6,13.2
atr_expanding,30609,29.0,-1.14,9.99,-5.68,-25.17,-35428.81,26.4,15.6
rs_acceleration,8556,29.1,-1.16,9.46,-5.52,-14.38,-10161.37,27.4,17.6
rsi_in_zone,51072,29.6,-1.17,8.25,-5.13,-38.01,-61764.33,22.7,12.9
rsi_divergence,7425,29.8,-1.17,8.64,-5.33,-14.14,-9153.51,24.5,14.0
bb_squeeze,26448,28.9,-1.17,7.84,-4.84,-29.85,-31828.04,23.0,12.9
macd_turning,9661,28.7,-1.24,8.65,-5.22,-17.13,-12281.13,23.1,13.7
declining_sell_vol,36189,28.8,-1.28,8.42,-5.2,-34.68,-47236.57,22.6,13.1
rs_vs_btc,24642,27.6,-1.38,9.4,-5.49,-28.57,-35202.28,24.7,14.8
higher_lows,13934,24.6,-1.87,8.59,-5.27,-33.22,-27345.13,21.4,12.3
