label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1552,34.3,-0.03,9.62,-5.07,-0.13,-320.78,30.5,19.8
vol_velocity,4463,33.1,-0.53,8.53,-5.01,-4.74,-2393.42,26.7,15.8
vol_expansion,15789,32.6,-0.81,9.05,-5.58,-12.79,-13156.26,26.0,14.9
rsi_ignition,4680,31.6,-0.86,8.71,-5.27,-8.0,-4166.62,24.7,13.6
macd_crossover,3762,29.7,-1.05,8.37,-5.02,-9.33,-3946.99,23.8,14.2
trend_strong,37121,29.4,-1.07,8.68,-5.13,-29.04,-40008.01,25.3,15.3
rsi_divergence,7718,29.8,-1.09,8.78,-5.29,-13.35,-8618.75,25.5,14.8
rs_acceleration,8801,29.7,-1.09,9.33,-5.49,-13.66,-9815.23,27.6,17.7
atr_expanding,31539,29.0,-1.11,9.97,-5.63,-24.99,-35313.83,26.6,15.6
stealth_accum,15121,30.2,-1.13,6.87,-4.58,-22.62,-17108.82,20.0,10.5
cmf,32384,29.6,-1.13,8.13,-5.02,-29.57,-37089.95,22.7,13.1
bb_squeeze,27653,28.9,-1.16,7.84,-4.82,-30.43,-32489.19,22.8,12.7
rsi_in_zone,52808,29.6,-1.17,8.19,-5.1,-38.82,-62567.9,22.4,12.7
macd_turning,9969,28.7,-1.24,8.64,-5.2,-17.45,-12438.72,22.7,13.5
declining_sell_vol,37313,28.8,-1.27,8.37,-5.17,-35.3,-47892.84,22.5,13.1
rs_vs_btc,25483,27.0,-1.48,9.23,-5.43,-31.65,-37802.79,24.1,14.3
higher_lows,14290,24.6,-1.84,8.51,-5.23,-33.48,-27421.78,21.4,12.1
