label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1626,34.2,-0.03,9.72,-5.1,-0.16,-272.24,30.8,20.1
vol_velocity,4686,32.7,-0.55,8.65,-5.02,-5.03,-2635.07,26.9,15.9
vol_expansion,16583,32.5,-0.81,9.15,-5.6,-13.01,-13669.44,26.1,15.0
rsi_ignition,4886,31.4,-0.85,8.83,-5.27,-8.02,-4334.78,25.1,13.9
macd_crossover,3963,29.3,-1.06,8.53,-5.03,-9.58,-4266.96,24.1,14.5
trend_strong,39140,29.2,-1.08,8.78,-5.15,-30.04,-42865.78,25.4,15.3
atr_expanding,33570,29.0,-1.1,10.03,-5.65,-25.39,-37377.13,26.7,15.8
stealth_accum,15757,29.8,-1.12,7.03,-4.57,-22.76,-18102.77,20.4,10.8
cmf,33862,29.4,-1.12,8.29,-5.03,-29.6,-38803.75,22.9,13.4
rs_acceleration,9377,29.3,-1.13,9.42,-5.5,-14.58,-10548.12,27.5,17.6
rsi_in_zone,55627,29.4,-1.16,8.32,-5.1,-39.25,-65799.51,22.8,13.0
rsi_divergence,8096,29.1,-1.17,8.86,-5.28,-14.7,-9468.95,25.2,14.7
bb_squeeze,28930,28.6,-1.17,7.97,-4.82,-31.07,-34107.15,23.2,13.1
macd_turning,10464,28.7,-1.2,8.72,-5.21,-17.29,-12827.2,23.2,13.9
declining_sell_vol,39301,28.6,-1.26,8.52,-5.18,-35.66,-50271.92,22.8,13.3
rs_vs_btc,27189,27.1,-1.43,9.39,-5.45,-31.33,-39698.6,24.6,14.6
higher_lows,15068,24.6,-1.82,8.7,-5.26,-33.4,-28255.13,21.7,12.4
