label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1696,34.5,0.02,9.65,-5.05,0.11,-351.66,31.4,20.2
vol_velocity,4799,33.5,-0.4,8.65,-4.97,-3.72,-2072.09,27.7,16.5
vol_expansion,17117,33.0,-0.68,9.19,-5.55,-11.08,-12127.94,26.7,15.4
rsi_ignition,5051,31.7,-0.81,8.8,-5.26,-7.78,-4244.27,25.1,14.0
macd_crossover,4102,29.5,-1.02,8.55,-5.03,-9.35,-4250.66,24.2,14.5
trend_strong,40592,29.5,-1.03,8.77,-5.13,-29.06,-42647.09,25.7,15.3
rs_acceleration,9655,29.9,-1.03,9.38,-5.48,-13.53,-10220.57,28.0,18.0
atr_expanding,34156,29.2,-1.04,10.06,-5.62,-24.14,-36249.13,27.0,16.0
rsi_divergence,8343,29.5,-1.07,8.91,-5.25,-13.6,-9079.7,25.6,15.0
cmf,34910,29.6,-1.08,8.26,-5.02,-29.23,-39209.13,23.2,13.4
rsi_in_zone,57346,29.6,-1.11,8.35,-5.09,-38.15,-65684.26,23.0,13.0
stealth_accum,16245,29.8,-1.11,7.07,-4.58,-22.81,-18491.52,20.5,10.6
macd_turning,10814,29.4,-1.12,8.7,-5.2,-16.29,-12534.85,23.6,14.0
bb_squeeze,29967,28.8,-1.12,8.03,-4.82,-30.39,-34257.33,23.6,13.1
declining_sell_vol,40736,28.9,-1.21,8.53,-5.16,-34.66,-50131.94,23.0,13.4
rs_vs_btc,28078,27.1,-1.43,9.36,-5.43,-31.91,-40992.44,24.7,14.6
higher_lows,15616,24.7,-1.79,8.69,-5.23,-33.58,-29279.99,21.8,12.3
