label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1614,34.3,-0.05,9.65,-5.1,-0.25,-359.34,30.7,20.0
vol_velocity,4627,32.9,-0.53,8.63,-5.02,-4.79,-2540.38,27.0,16.0
vol_expansion,16396,32.4,-0.83,9.14,-5.61,-13.27,-14040.5,26.1,15.0
rsi_ignition,4845,31.5,-0.87,8.73,-5.29,-8.23,-4380.23,24.8,13.7
macd_crossover,3914,29.6,-1.04,8.45,-5.04,-9.35,-4141.61,24.1,14.5
trend_strong,38692,29.3,-1.07,8.77,-5.16,-29.63,-42407.29,25.5,15.4
rs_acceleration,9240,29.4,-1.11,9.41,-5.5,-14.28,-10530.14,27.6,17.7
atr_expanding,33209,28.9,-1.11,10.05,-5.65,-25.55,-37607.19,26.7,15.8
stealth_accum,15539,30.3,-1.11,6.95,-4.6,-22.36,-17739.68,20.4,10.8
cmf,33476,29.5,-1.12,8.27,-5.04,-29.5,-38828.22,23.0,13.4
rsi_divergence,7984,29.4,-1.15,8.77,-5.3,-14.43,-9389.53,25.1,14.6
bb_squeeze,28528,28.8,-1.15,7.96,-4.83,-30.42,-33442.57,23.2,13.1
rsi_in_zone,54841,29.5,-1.16,8.29,-5.12,-38.86,-65352.55,22.8,13.0
macd_turning,10345,28.8,-1.21,8.67,-5.21,-17.28,-12818.76,23.1,13.9
declining_sell_vol,38807,28.8,-1.26,8.47,-5.19,-35.33,-49771.13,22.8,13.4
rs_vs_btc,26823,27.1,-1.45,9.35,-5.46,-31.69,-39816.0,24.6,14.6
higher_lows,14918,24.6,-1.82,8.68,-5.25,-33.33,-28430.01,21.7,12.4
