label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.0,-0.06,9.71,-5.11,-0.33,-356.73,30.8,20.0
vol_velocity,4615,32.8,-0.53,8.66,-5.02,-4.79,-2464.12,27.2,16.1
vol_expansion,16394,32.4,-0.82,9.15,-5.6,-13.18,-13924.52,26.2,15.0
rsi_ignition,4843,31.2,-0.87,8.8,-5.25,-8.22,-4349.63,24.8,13.7
macd_crossover,3898,29.4,-1.03,8.55,-5.03,-9.28,-4035.19,24.2,14.6
trend_strong,38780,29.2,-1.08,8.79,-5.16,-29.91,-42297.93,25.5,15.4
rs_acceleration,9246,29.4,-1.11,9.43,-5.5,-14.31,-10548.15,27.6,17.7
atr_expanding,33192,28.9,-1.11,10.05,-5.65,-25.43,-37007.39,26.7,15.8
stealth_accum,15476,29.8,-1.12,7.05,-4.6,-22.54,-17425.31,20.5,10.9
cmf,33474,29.4,-1.13,8.29,-5.04,-29.63,-38276.74,23.0,13.4
rsi_in_zone,54681,29.3,-1.17,8.37,-5.12,-38.97,-64384.99,22.9,13.1
bb_squeeze,28410,28.5,-1.17,8.05,-4.83,-30.63,-33386.67,23.4,13.2
rsi_divergence,7916,28.9,-1.18,8.94,-5.29,-14.66,-9541.42,25.3,14.7
macd_turning,10331,28.6,-1.21,8.73,-5.19,-17.25,-12566.79,23.2,13.9
declining_sell_vol,38795,28.6,-1.26,8.52,-5.18,-35.31,-49155.84,22.8,13.4
rs_vs_btc,26765,27.0,-1.45,9.39,-5.46,-31.51,-38883.89,24.6,14.6
higher_lows,14938,24.7,-1.81,8.66,-5.24,-33.14,-28071.49,21.7,12.5
