label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1549,34.0,-0.08,9.72,-5.13,-0.4,-303.95,30.7,20.2
vol_velocity,4512,32.7,-0.53,8.72,-5.02,-4.78,-2475.85,27.2,16.2
vol_expansion,15747,32.5,-0.79,9.21,-5.61,-12.36,-12993.99,26.2,15.1
rsi_ignition,4648,31.2,-0.88,8.8,-5.27,-8.15,-4298.23,24.8,13.6
macd_crossover,3752,29.5,-1.02,8.57,-5.04,-8.97,-3870.43,24.2,14.6
trend_strong,37165,29.4,-1.08,8.77,-5.17,-29.07,-40346.91,25.4,15.3
stealth_accum,14919,30.1,-1.09,7.08,-4.6,-21.47,-16294.48,20.5,10.9
atr_expanding,31833,28.9,-1.12,10.05,-5.67,-25.18,-36287.82,26.6,15.7
cmf,32279,29.6,-1.12,8.25,-5.05,-28.78,-36651.88,22.9,13.4
rs_acceleration,8923,29.1,-1.16,9.46,-5.53,-14.64,-10507.87,27.5,17.6
rsi_in_zone,52735,29.4,-1.17,8.34,-5.13,-38.37,-61762.24,22.9,13.1
bb_squeeze,27364,28.7,-1.17,7.97,-4.84,-30.26,-32061.64,23.3,13.1
macd_turning,9920,28.9,-1.19,8.66,-5.19,-16.61,-11827.56,23.2,13.8
rsi_divergence,7579,29.0,-1.2,8.93,-5.34,-14.57,-9435.03,25.3,14.6
declining_sell_vol,37301,28.7,-1.27,8.48,-5.2,-34.87,-47593.85,22.7,13.3
rs_vs_btc,25637,27.2,-1.43,9.45,-5.49,-30.18,-36998.42,24.6,14.7
higher_lows,14362,24.2,-1.92,8.59,-5.27,-34.8,-27556.74,21.0,12.1
