label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.0,-0.06,9.73,-5.1,-0.32,-368.01,30.8,20.0
vol_velocity,4614,32.9,-0.52,8.66,-5.03,-4.75,-2443.37,27.2,16.1
vol_expansion,16398,32.5,-0.82,9.14,-5.6,-13.14,-13872.35,26.2,15.0
rsi_ignition,4829,31.5,-0.85,8.75,-5.27,-8.07,-4278.18,24.9,13.8
macd_crossover,3889,29.4,-1.03,8.57,-5.04,-9.25,-4024.74,24.3,14.6
trend_strong,38773,29.2,-1.08,8.8,-5.16,-29.87,-42232.84,25.5,15.4
atr_expanding,33194,29.0,-1.1,10.05,-5.65,-25.34,-36887.86,26.7,15.8
rs_acceleration,9255,29.3,-1.12,9.43,-5.5,-14.38,-10574.75,27.6,17.7
stealth_accum,15456,29.9,-1.12,7.06,-4.61,-22.46,-17376.95,20.5,10.9
cmf,33487,29.4,-1.13,8.29,-5.04,-29.68,-38309.44,23.0,13.4
bb_squeeze,28451,28.5,-1.16,8.05,-4.83,-30.58,-33378.03,23.4,13.2
rsi_in_zone,54658,29.3,-1.17,8.38,-5.13,-38.92,-64308.82,22.9,13.1
rsi_divergence,7931,29.0,-1.17,8.93,-5.3,-14.58,-9522.83,25.4,14.8
macd_turning,10288,28.8,-1.2,8.72,-5.21,-17.15,-12503.2,23.3,13.9
declining_sell_vol,38759,28.7,-1.26,8.52,-5.19,-35.25,-49101.36,22.9,13.4
rs_vs_btc,26735,27.1,-1.44,9.39,-5.46,-31.44,-38800.72,24.7,14.7
higher_lows,14945,24.7,-1.8,8.68,-5.24,-33.07,-28001.06,21.8,12.5
