label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1543,34.1,-0.06,9.72,-5.12,-0.33,-267.74,30.7,20.0
vol_velocity,4411,32.4,-0.57,8.73,-5.04,-5.09,-2604.21,26.8,16.0
vol_expansion,15674,32.4,-0.83,9.17,-5.61,-12.94,-13296.01,26.1,15.0
rsi_ignition,4662,31.4,-0.87,8.76,-5.28,-8.01,-4206.33,25.0,13.6
macd_crossover,3750,29.3,-1.06,8.52,-5.03,-9.38,-4001.26,24.1,14.4
trend_strong,37123,29.4,-1.07,8.76,-5.16,-28.93,-40154.91,25.5,15.4
stealth_accum,14889,30.2,-1.08,7.05,-4.6,-21.29,-16139.22,20.7,10.9
rs_acceleration,8892,29.2,-1.13,9.49,-5.52,-14.27,-10245.22,27.6,17.8
cmf,32188,29.5,-1.13,8.24,-5.04,-29.16,-36670.99,22.8,13.3
macd_turning,10009,29.5,-1.15,8.51,-5.19,-16.22,-11632.98,23.3,13.9
atr_expanding,32039,28.8,-1.15,10.02,-5.67,-25.93,-37040.34,26.4,15.6
rsi_in_zone,52692,29.4,-1.18,8.33,-5.13,-38.67,-62246.59,22.8,13.0
bb_squeeze,27301,28.5,-1.19,7.97,-4.84,-30.85,-32600.8,23.2,13.0
rsi_divergence,7566,28.6,-1.24,8.95,-5.33,-15.05,-9578.91,24.9,14.3
declining_sell_vol,37322,28.8,-1.26,8.48,-5.2,-34.64,-47376.28,22.8,13.3
rs_vs_btc,25445,27.2,-1.42,9.45,-5.49,-29.9,-36583.15,24.8,14.7
higher_lows,14465,24.9,-1.78,8.73,-5.27,-31.79,-26347.03,22.1,12.9
