label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1464,34.4,-0.01,9.66,-5.08,-0.06,-276.66,31.1,20.0
vol_velocity,4163,33.0,-0.49,8.59,-4.95,-4.24,-2323.67,26.6,15.7
vol_expansion,14769,32.6,-0.76,9.13,-5.55,-11.61,-11995.59,26.0,14.8
rsi_ignition,4315,31.5,-0.87,8.68,-5.27,-7.87,-4000.74,24.6,13.4
trend_strong,35067,29.6,-1.02,8.74,-5.12,-26.72,-36326.99,25.3,15.2
macd_crossover,3535,29.4,-1.05,8.4,-4.99,-9.06,-3883.58,23.8,14.2
atr_expanding,29189,29.1,-1.07,10.04,-5.64,-23.05,-32284.02,26.7,15.5
stealth_accum,14227,30.3,-1.07,6.95,-4.56,-20.71,-16416.87,20.2,10.6
cmf,30465,29.6,-1.1,8.17,-5.0,-27.76,-35627.47,22.6,13.0
bb_squeeze,26006,29.0,-1.11,7.97,-4.81,-27.94,-30158.14,23.4,12.9
rsi_in_zone,49634,29.6,-1.13,8.28,-5.09,-35.98,-57605.72,22.7,12.8
rs_acceleration,8185,28.9,-1.19,9.33,-5.47,-14.53,-10165.48,27.0,17.1
macd_turning,9254,28.7,-1.22,8.66,-5.2,-16.63,-11652.0,22.6,13.5
declining_sell_vol,34987,28.8,-1.24,8.43,-5.15,-33.11,-44213.41,22.6,13.1
rsi_divergence,7099,28.6,-1.26,8.78,-5.27,-15.04,-9520.75,25.0,14.0
rs_vs_btc,23742,27.6,-1.33,9.44,-5.43,-26.99,-32301.65,24.7,14.8
higher_lows,13648,25.0,-1.75,8.69,-5.22,-30.54,-24692.5,21.8,12.5
