label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1638,34.4,-0.11,9.31,-5.06,-0.6,-393.49,30.8,20.2
vol_velocity,4734,33.7,-0.42,8.51,-4.97,-3.9,-2104.65,27.4,16.4
vol_expansion,16537,32.9,-0.72,9.1,-5.54,-11.68,-13004.23,26.7,15.4
rsi_ignition,4868,31.4,-0.88,8.66,-5.25,-8.42,-4451.67,25.0,13.9
macd_crossover,3999,30.2,-0.99,8.37,-5.03,-8.95,-3948.97,24.0,14.3
trend_strong,39389,29.8,-1.03,8.65,-5.15,-28.71,-40627.07,25.3,15.1
stealth_accum,15931,30.7,-1.06,6.89,-4.58,-21.64,-16817.68,20.2,10.5
rs_acceleration,9344,29.8,-1.07,9.38,-5.49,-13.77,-10285.6,27.8,17.7
atr_expanding,32698,29.1,-1.07,10.03,-5.64,-24.44,-35100.17,26.9,16.0
cmf,33933,30.1,-1.07,8.15,-5.03,-28.32,-36232.38,22.9,13.3
rsi_divergence,8075,29.8,-1.08,8.77,-5.27,-13.67,-8922.16,25.4,14.9
rsi_in_zone,55737,30.2,-1.1,8.19,-5.11,-37.18,-61155.36,22.8,12.9
bb_squeeze,29077,29.4,-1.1,7.87,-4.83,-29.47,-32096.59,23.2,12.9
macd_turning,10413,29.2,-1.17,8.58,-5.19,-16.93,-12627.86,23.4,13.8
declining_sell_vol,39483,29.2,-1.21,8.36,-5.17,-34.5,-48006.07,22.7,13.2
rs_vs_btc,27146,27.5,-1.38,9.31,-5.44,-30.16,-37642.46,24.5,14.6
higher_lows,15088,24.2,-1.9,8.59,-5.25,-35.31,-28636.53,21.1,11.7
