label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1499,33.8,-0.12,9.63,-5.11,-0.62,-324.74,30.2,19.7
vol_velocity,4353,33.2,-0.53,8.5,-5.03,-4.73,-2376.08,26.5,15.9
vol_expansion,15260,32.7,-0.81,9.06,-5.61,-12.61,-12896.2,25.8,14.9
rsi_ignition,4518,31.3,-0.91,8.76,-5.3,-8.27,-4271.25,24.8,13.5
macd_crossover,3670,29.6,-1.05,8.39,-5.02,-9.18,-3846.95,23.9,14.1
stealth_accum,14584,30.6,-1.06,6.92,-4.58,-20.82,-15695.87,20.4,10.8
trend_strong,35951,29.6,-1.08,8.65,-5.17,-28.86,-39061.43,25.2,15.2
cmf,31218,29.7,-1.12,8.15,-5.03,-28.65,-36120.04,22.6,13.2
atr_expanding,30600,29.0,-1.13,9.98,-5.68,-24.96,-34764.65,26.4,15.6
rs_acceleration,8571,29.2,-1.16,9.41,-5.52,-14.32,-9905.68,27.3,17.6
rsi_in_zone,51105,29.6,-1.17,8.23,-5.13,-37.99,-59936.61,22.7,12.9
bb_squeeze,26450,28.9,-1.17,7.84,-4.84,-29.87,-31001.21,23.0,12.9
rsi_divergence,7442,29.7,-1.18,8.62,-5.32,-14.29,-8892.94,24.5,14.0
macd_turning,9661,28.7,-1.24,8.65,-5.22,-17.11,-11961.92,23.1,13.7
declining_sell_vol,36205,28.8,-1.28,8.41,-5.2,-34.61,-46326.99,22.6,13.2
rs_vs_btc,24659,27.7,-1.37,9.39,-5.49,-28.4,-34240.96,24.7,14.8
higher_lows,13932,24.6,-1.87,8.59,-5.27,-33.14,-26096.72,21.4,12.3
