label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1549,34.2,-0.04,9.63,-5.07,-0.2,-327.16,30.5,19.9
vol_velocity,4468,32.9,-0.55,8.55,-5.0,-4.91,-2475.07,26.7,15.8
vol_expansion,15790,32.5,-0.82,9.05,-5.57,-12.92,-13273.91,26.0,14.9
rsi_ignition,4680,31.6,-0.87,8.67,-5.27,-8.13,-4220.32,24.6,13.6
macd_crossover,3761,29.6,-1.05,8.36,-5.02,-9.38,-3963.55,23.8,14.3
trend_strong,37175,29.4,-1.08,8.68,-5.14,-29.39,-40465.81,25.3,15.2
rsi_divergence,7707,29.7,-1.1,8.79,-5.28,-13.53,-8717.8,25.4,14.8
rs_acceleration,8804,29.6,-1.1,9.34,-5.49,-13.82,-9924.94,27.6,17.7
atr_expanding,31551,28.9,-1.12,9.99,-5.63,-25.19,-35583.66,26.6,15.6
stealth_accum,15109,30.2,-1.14,6.84,-4.59,-22.89,-17291.01,20.0,10.5
cmf,32366,29.4,-1.14,8.16,-5.02,-29.91,-37480.54,22.7,13.1
bb_squeeze,27575,28.7,-1.18,7.87,-4.82,-30.86,-32868.43,22.8,12.7
rsi_in_zone,52758,29.5,-1.19,8.19,-5.11,-39.3,-63251.87,22.4,12.7
macd_turning,9968,28.6,-1.24,8.62,-5.2,-17.55,-12499.61,22.6,13.5
declining_sell_vol,37295,28.7,-1.29,8.37,-5.17,-35.66,-48313.31,22.4,13.1
rs_vs_btc,25465,26.9,-1.49,9.24,-5.43,-31.88,-38023.32,24.1,14.3
higher_lows,14299,24.5,-1.85,8.51,-5.22,-33.7,-27583.51,21.4,12.1
