label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1599,34.0,-0.09,9.71,-5.13,-0.48,-304.12,30.6,19.8
vol_velocity,4535,32.8,-0.55,8.67,-5.05,-4.91,-2501.67,26.8,16.0
vol_expansion,16071,32.6,-0.8,9.2,-5.63,-12.61,-13446.34,26.0,15.0
rsi_ignition,4778,31.5,-0.85,8.87,-5.32,-7.92,-4308.44,25.3,13.9
macd_crossover,3857,29.5,-1.03,8.56,-5.05,-9.12,-4065.86,24.2,14.5
trend_strong,38085,29.5,-1.07,8.78,-5.19,-29.0,-41107.84,25.5,15.4
stealth_accum,15193,30.2,-1.08,7.04,-4.6,-21.54,-17290.83,20.7,10.8
rs_acceleration,9157,29.5,-1.11,9.45,-5.52,-14.1,-10560.08,27.7,17.9
atr_expanding,33037,29.1,-1.11,10.07,-5.7,-25.26,-37291.53,26.5,15.8
rsi_divergence,7894,29.8,-1.14,8.71,-5.33,-14.18,-9307.52,24.7,14.1
cmf,32788,29.3,-1.15,8.28,-5.06,-29.77,-38074.99,22.8,13.4
rsi_in_zone,53893,29.4,-1.18,8.36,-5.15,-39.03,-64326.74,22.9,13.0
bb_squeeze,27927,28.6,-1.19,7.95,-4.85,-30.99,-33441.23,23.2,13.0
macd_turning,10252,28.8,-1.21,8.77,-5.25,-17.19,-12608.96,23.5,13.9
declining_sell_vol,38223,28.8,-1.25,8.56,-5.22,-34.52,-48258.32,23.0,13.4
rs_vs_btc,26151,27.1,-1.43,9.59,-5.52,-30.22,-37599.24,24.8,14.8
higher_lows,14730,25.0,-1.76,8.83,-5.28,-31.42,-27599.72,22.4,13.1
