label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,33.9,-0.06,9.74,-5.09,-0.33,-335.72,30.8,20.0
vol_velocity,4617,32.9,-0.51,8.69,-5.01,-4.59,-2386.8,27.3,16.2
vol_expansion,16392,32.3,-0.81,9.19,-5.59,-13.06,-13637.81,26.2,15.0
rsi_ignition,4797,31.2,-0.87,8.87,-5.29,-8.12,-4263.5,25.1,13.9
macd_crossover,3889,29.5,-1.02,8.58,-5.04,-9.16,-4048.91,24.4,14.7
trend_strong,38782,29.2,-1.07,8.81,-5.15,-29.66,-41866.61,25.5,15.4
atr_expanding,33211,28.9,-1.1,10.07,-5.65,-25.21,-36689.79,26.8,15.8
rs_acceleration,9256,29.3,-1.11,9.44,-5.49,-14.32,-10530.03,27.6,17.8
stealth_accum,15445,29.8,-1.11,7.11,-4.6,-22.27,-17185.1,20.6,10.9
cmf,33497,29.4,-1.12,8.29,-5.04,-29.59,-37958.01,23.0,13.4
rsi_divergence,7993,29.0,-1.15,8.94,-5.28,-14.4,-9499.35,25.6,14.8
bb_squeeze,28524,28.5,-1.15,8.05,-4.83,-30.32,-33050.44,23.5,13.2
rsi_in_zone,54670,29.2,-1.16,8.41,-5.12,-38.8,-64064.75,23.0,13.1
macd_turning,10265,28.7,-1.21,8.77,-5.22,-17.14,-12495.61,23.3,14.0
declining_sell_vol,38713,28.6,-1.26,8.56,-5.19,-35.14,-48857.63,23.0,13.5
rs_vs_btc,26700,27.0,-1.44,9.43,-5.46,-31.39,-38716.37,24.7,14.7
higher_lows,14929,24.7,-1.8,8.71,-5.24,-33.02,-27954.05,21.8,12.5
