label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.2,-0.04,9.69,-5.09,-0.23,-302.41,30.8,20.0
vol_velocity,4612,33.2,-0.47,8.67,-5.02,-4.3,-2503.76,27.3,16.2
vol_expansion,16352,32.6,-0.79,9.15,-5.6,-12.68,-13680.96,26.2,15.0
rsi_ignition,4796,31.4,-0.84,8.87,-5.29,-7.9,-4211.16,25.2,13.8
macd_crossover,3900,29.6,-1.01,8.55,-5.04,-9.04,-4101.42,24.3,14.6
trend_strong,38743,29.4,-1.05,8.76,-5.14,-28.93,-41432.36,25.5,15.4
atr_expanding,33188,29.1,-1.08,10.03,-5.65,-24.73,-37262.32,26.8,15.9
rsi_divergence,8029,29.7,-1.09,8.79,-5.28,-13.69,-9128.74,25.3,14.6
rs_acceleration,9248,29.5,-1.09,9.43,-5.49,-14.0,-10374.47,27.7,17.8
stealth_accum,15443,30.1,-1.09,7.07,-4.59,-21.78,-18011.42,20.6,10.9
cmf,33458,29.5,-1.11,8.28,-5.04,-29.32,-39023.6,23.0,13.5
bb_squeeze,28499,28.8,-1.13,8.03,-4.82,-29.6,-33369.98,23.6,13.2
rsi_in_zone,54674,29.5,-1.15,8.37,-5.12,-38.24,-64214.09,23.0,13.1
macd_turning,10291,28.8,-1.19,8.75,-5.22,-16.95,-12582.48,23.4,14.0
declining_sell_vol,38720,28.8,-1.24,8.54,-5.19,-34.65,-48834.65,23.0,13.5
rs_vs_btc,26685,27.1,-1.43,9.43,-5.47,-31.09,-39057.88,24.7,14.7
higher_lows,14909,24.7,-1.8,8.71,-5.25,-32.97,-27165.57,21.8,12.6
