label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1626,34.7,0.04,9.61,-5.04,0.22,-285.06,31.1,20.1
vol_velocity,4684,33.2,-0.49,8.61,-5.01,-4.46,-2349.55,27.1,16.2
vol_expansion,16558,32.9,-0.74,9.1,-5.56,-11.92,-13089.43,26.3,15.1
rsi_ignition,4896,31.8,-0.82,8.72,-5.26,-7.81,-4237.42,24.8,13.8
rs_acceleration,9154,30.1,-1.01,9.36,-5.48,-12.9,-9831.44,28.0,18.0
macd_crossover,3931,29.9,-1.02,8.39,-5.03,-9.27,-4019.65,23.9,14.3
trend_strong,38858,29.7,-1.03,8.68,-5.13,-28.62,-40408.92,25.5,15.3
rsi_divergence,8068,30.0,-1.05,8.8,-5.27,-13.09,-8751.32,25.5,14.9
atr_expanding,32624,29.1,-1.09,9.98,-5.63,-24.9,-35855.97,26.6,15.6
cmf,33764,29.7,-1.11,8.11,-5.01,-29.69,-37935.13,22.9,13.1
stealth_accum,15704,30.1,-1.12,6.91,-4.58,-22.9,-17638.31,20.1,10.4
rsi_in_zone,55002,29.8,-1.14,8.21,-5.1,-38.41,-63223.8,22.5,12.7
bb_squeeze,28907,29.1,-1.14,7.85,-4.83,-30.52,-33244.73,22.9,12.7
macd_turning,10425,29.1,-1.18,8.65,-5.21,-16.89,-12737.62,23.0,13.6
declining_sell_vol,39049,29.0,-1.24,8.4,-5.17,-34.93,-48543.12,22.6,13.1
rs_vs_btc,26607,27.0,-1.46,9.25,-5.42,-31.97,-39079.79,24.2,14.3
higher_lows,14949,24.6,-1.84,8.53,-5.22,-34.08,-28544.39,21.5,11.9
