label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1497,33.7,-0.13,9.7,-5.12,-0.65,-288.89,30.3,19.8
vol_velocity,4339,32.6,-0.57,8.65,-5.02,-5.0,-2554.09,26.7,16.0
vol_expansion,15198,32.5,-0.82,9.15,-5.61,-12.59,-12853.97,26.0,15.0
rsi_ignition,4494,31.2,-0.89,8.76,-5.27,-8.11,-4224.62,24.8,13.5
macd_crossover,3637,29.3,-1.06,8.51,-5.03,-9.18,-3919.09,24.0,14.3
stealth_accum,14489,30.3,-1.07,7.02,-4.59,-20.75,-15955.45,20.5,10.9
trend_strong,35820,29.4,-1.09,8.72,-5.17,-28.86,-39547.29,25.3,15.2
cmf,31184,29.6,-1.13,8.18,-5.04,-28.75,-36223.32,22.6,13.2
atr_expanding,30570,28.8,-1.15,10.02,-5.68,-25.41,-35810.02,26.4,15.7
rs_acceleration,8565,29.0,-1.17,9.48,-5.52,-14.47,-10058.55,27.4,17.7
rsi_in_zone,50955,29.4,-1.18,8.28,-5.13,-38.15,-61352.47,22.7,12.9
macd_turning,9595,28.9,-1.19,8.62,-5.19,-16.44,-11764.99,23.2,13.8
bb_squeeze,26361,28.6,-1.19,7.91,-4.84,-30.37,-31725.92,23.1,12.9
rsi_divergence,7267,28.7,-1.25,8.94,-5.34,-14.81,-9083.03,24.9,14.3
declining_sell_vol,36049,28.8,-1.28,8.44,-5.2,-34.56,-46783.42,22.6,13.2
rs_vs_btc,24632,27.4,-1.4,9.41,-5.49,-28.95,-35478.8,24.7,14.8
higher_lows,13938,24.6,-1.87,8.59,-5.27,-33.23,-26273.48,21.3,12.3
