label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.2,-0.04,9.69,-5.09,-0.23,-323.43,30.8,20.0
vol_velocity,4612,33.2,-0.47,8.67,-5.02,-4.3,-2484.77,27.3,16.2
vol_expansion,16352,32.6,-0.79,9.15,-5.6,-12.68,-13670.65,26.2,15.0
rsi_ignition,4796,31.4,-0.84,8.87,-5.29,-7.9,-4272.45,25.2,13.8
macd_crossover,3900,29.6,-1.01,8.55,-5.04,-9.04,-4105.83,24.3,14.6
trend_strong,38743,29.4,-1.05,8.76,-5.14,-28.93,-41245.21,25.5,15.4
atr_expanding,33188,29.1,-1.08,10.03,-5.65,-24.73,-36793.68,26.8,15.9
rsi_divergence,8029,29.7,-1.09,8.79,-5.28,-13.69,-9409.55,25.3,14.6
rs_acceleration,9248,29.5,-1.09,9.43,-5.49,-14.0,-10532.35,27.7,17.8
stealth_accum,15443,30.1,-1.09,7.07,-4.59,-21.78,-17998.06,20.6,10.9
cmf,33458,29.5,-1.11,8.28,-5.04,-29.32,-39448.91,23.0,13.5
bb_squeeze,28499,28.8,-1.13,8.03,-4.82,-29.6,-33398.14,23.6,13.2
rsi_in_zone,54674,29.5,-1.15,8.37,-5.12,-38.24,-64441.36,23.0,13.1
macd_turning,10291,28.8,-1.19,8.75,-5.22,-16.95,-12623.54,23.4,14.0
declining_sell_vol,38720,28.8,-1.24,8.54,-5.19,-34.65,-48951.28,23.0,13.5
rs_vs_btc,26685,27.1,-1.43,9.43,-5.47,-31.09,-39045.15,24.7,14.7
higher_lows,14909,24.7,-1.8,8.71,-5.25,-32.97,-27753.98,21.8,12.6
