label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.0,-0.06,9.73,-5.1,-0.33,-358.21,30.8,20.0
vol_velocity,4612,32.8,-0.53,8.68,-5.03,-4.8,-2546.52,27.1,16.1
vol_expansion,16391,32.4,-0.83,9.15,-5.6,-13.29,-14067.52,26.2,15.0
rsi_ignition,4845,31.2,-0.87,8.79,-5.25,-8.28,-4399.33,24.8,13.7
macd_crossover,3899,29.4,-1.04,8.56,-5.03,-9.31,-4127.95,24.2,14.6
trend_strong,38775,29.2,-1.08,8.8,-5.15,-29.92,-42818.43,25.5,15.4
rs_acceleration,9242,29.3,-1.11,9.44,-5.49,-14.32,-10563.95,27.6,17.7
atr_expanding,33192,28.9,-1.11,10.06,-5.65,-25.52,-37569.1,26.7,15.8
stealth_accum,15498,29.8,-1.12,7.05,-4.59,-22.59,-17906.94,20.5,10.8
cmf,33462,29.4,-1.12,8.29,-5.04,-29.61,-38950.8,23.0,13.5
bb_squeeze,28417,28.5,-1.16,8.03,-4.83,-30.57,-33628.56,23.4,13.1
rsi_in_zone,54735,29.3,-1.17,8.37,-5.11,-39.07,-65727.14,22.8,13.0
rsi_divergence,7942,29.0,-1.18,8.87,-5.28,-14.67,-9541.8,25.2,14.7
macd_turning,10341,28.6,-1.21,8.73,-5.18,-17.3,-12832.29,23.1,13.9
declining_sell_vol,38778,28.6,-1.26,8.53,-5.17,-35.37,-49849.91,22.8,13.4
rs_vs_btc,26778,26.9,-1.45,9.41,-5.45,-31.62,-39765.86,24.6,14.6
higher_lows,14935,24.6,-1.82,8.69,-5.24,-33.29,-28404.34,21.7,12.5
