label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1548,34.0,-0.07,9.67,-5.1,-0.35,-304.8,30.5,19.8
vol_velocity,4429,32.9,-0.54,8.64,-5.04,-4.83,-2438.48,26.8,16.0
vol_expansion,15751,32.5,-0.82,9.1,-5.6,-12.97,-13146.65,25.9,14.9
rsi_ignition,4658,31.3,-0.86,8.85,-5.29,-7.93,-4100.91,25.1,13.7
macd_crossover,3776,29.4,-1.06,8.49,-5.03,-9.39,-4099.07,24.0,14.4
trend_strong,37348,29.4,-1.07,8.73,-5.15,-29.08,-40042.44,25.4,15.3
stealth_accum,15005,30.3,-1.08,7.0,-4.59,-21.34,-16918.79,20.6,10.8
rs_acceleration,8908,29.3,-1.13,9.46,-5.51,-14.2,-10026.73,27.5,17.7
atr_expanding,32010,28.9,-1.13,10.02,-5.67,-25.44,-36138.73,26.5,15.7
cmf,32266,29.5,-1.13,8.22,-5.03,-29.23,-36407.98,22.8,13.3
rsi_divergence,7741,29.5,-1.14,8.76,-5.29,-14.02,-9003.21,24.9,14.2
rsi_in_zone,52895,29.4,-1.17,8.31,-5.12,-38.59,-62011.75,22.8,13.0
bb_squeeze,27472,28.6,-1.17,7.95,-4.82,-30.44,-32189.1,23.2,13.0
macd_turning,9963,28.8,-1.21,8.73,-5.23,-16.9,-12066.81,23.4,13.9
declining_sell_vol,37429,28.7,-1.26,8.51,-5.2,-34.69,-47219.84,22.8,13.3
rs_vs_btc,25493,27.3,-1.41,9.46,-5.48,-29.6,-35999.14,24.8,14.8
higher_lows,14462,24.9,-1.78,8.76,-5.27,-31.83,-26369.34,22.1,12.9
