label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1546,34.2,-0.06,9.65,-5.11,-0.3,-312.81,30.5,19.8
vol_velocity,4428,33.1,-0.54,8.57,-5.04,-4.8,-2563.93,26.6,15.9
vol_expansion,15725,32.6,-0.82,9.07,-5.62,-12.94,-13583.38,25.9,14.9
rsi_ignition,4687,31.3,-0.89,8.81,-5.3,-8.23,-4359.49,24.9,13.6
macd_crossover,3778,29.6,-1.06,8.42,-5.03,-9.37,-4145.24,24.0,14.3
trend_strong,37219,29.5,-1.07,8.71,-5.16,-28.92,-40566.57,25.4,15.3
stealth_accum,14973,30.4,-1.08,6.97,-4.6,-21.34,-17449.42,20.6,10.8
rs_acceleration,8897,29.4,-1.12,9.42,-5.52,-14.1,-10456.23,27.5,17.7
cmf,32218,29.6,-1.12,8.21,-5.04,-29.01,-38158.08,22.8,13.3
atr_expanding,32048,29.0,-1.13,9.99,-5.67,-25.59,-36724.18,26.4,15.6
rsi_in_zone,52798,29.5,-1.17,8.31,-5.13,-38.56,-64263.44,22.8,12.9
rsi_divergence,7738,29.6,-1.17,8.63,-5.3,-14.43,-9565.93,24.5,14.1
bb_squeeze,27414,28.7,-1.17,7.91,-4.83,-30.35,-33204.45,23.2,13.0
macd_turning,10012,28.8,-1.21,8.7,-5.23,-17.0,-12573.98,23.3,13.9
declining_sell_vol,37424,28.8,-1.26,8.49,-5.21,-34.76,-48582.0,22.8,13.3
rs_vs_btc,25463,27.4,-1.4,9.43,-5.49,-29.42,-36821.22,24.8,14.7
higher_lows,14455,25.0,-1.77,8.73,-5.27,-31.58,-27623.92,22.1,12.9
