label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1572,33.8,-0.12,9.66,-5.11,-0.62,-378.28,30.3,19.9
vol_velocity,4588,32.7,-0.54,8.68,-5.01,-4.87,-2699.97,26.9,16.0
vol_expansion,15941,32.4,-0.8,9.23,-5.61,-12.53,-13411.72,26.1,15.0
rsi_ignition,4695,31.3,-0.89,8.8,-5.3,-8.22,-4345.35,24.9,13.6
macd_crossover,3814,29.7,-1.02,8.53,-5.04,-9.01,-3966.08,24.2,14.5
trend_strong,37613,29.4,-1.08,8.76,-5.17,-29.4,-41118.93,25.4,15.3
stealth_accum,15098,30.1,-1.09,7.06,-4.6,-21.63,-16513.22,20.5,10.9
cmf,32684,29.6,-1.11,8.25,-5.05,-28.9,-37305.44,22.8,13.3
atr_expanding,32108,29.0,-1.12,10.05,-5.67,-25.12,-37000.02,26.6,15.8
rs_acceleration,8991,29.1,-1.15,9.48,-5.52,-14.62,-10806.38,27.4,17.6
bb_squeeze,27738,29.0,-1.15,7.89,-4.84,-30.02,-32360.18,23.2,13.0
rsi_in_zone,53366,29.5,-1.16,8.32,-5.13,-38.41,-62281.12,22.9,13.0
rsi_divergence,7736,29.7,-1.17,8.65,-5.32,-14.4,-9511.07,24.8,14.4
macd_turning,10085,28.8,-1.23,8.67,-5.22,-17.3,-12431.51,23.1,13.7
declining_sell_vol,37787,28.8,-1.27,8.46,-5.2,-35.14,-48348.76,22.7,13.2
rs_vs_btc,26093,27.3,-1.41,9.41,-5.48,-30.19,-37025.26,24.6,14.7
higher_lows,14562,24.4,-1.9,8.57,-5.27,-34.64,-27671.07,21.1,11.9
