label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1625,33.9,-0.14,9.46,-5.06,-0.72,-416.59,31.0,20.4
vol_velocity,4724,33.6,-0.42,8.57,-4.97,-3.88,-2059.7,27.5,16.4
vol_expansion,16570,33.0,-0.7,9.11,-5.55,-11.35,-12214.81,26.6,15.4
rsi_ignition,4892,31.5,-0.84,8.74,-5.25,-8.02,-4293.1,24.9,13.9
macd_crossover,3989,29.7,-1.02,8.47,-5.03,-9.25,-4164.16,24.0,14.4
trend_strong,39318,29.6,-1.05,8.68,-5.14,-29.19,-41736.08,25.4,15.2
atr_expanding,32753,29.1,-1.07,10.02,-5.64,-24.41,-35837.67,26.9,15.9
rs_acceleration,9357,29.7,-1.08,9.38,-5.5,-13.99,-10109.56,27.7,17.7
cmf,33890,29.9,-1.08,8.17,-5.02,-28.75,-37948.04,22.9,13.3
rsi_divergence,8072,29.6,-1.09,8.81,-5.26,-13.77,-8899.74,25.5,14.9
stealth_accum,15900,30.3,-1.09,6.93,-4.57,-22.41,-17861.45,20.2,10.5
rsi_in_zone,55708,29.9,-1.12,8.22,-5.1,-37.92,-63449.72,22.8,12.9
bb_squeeze,29020,29.1,-1.13,7.89,-4.83,-30.29,-33177.63,23.2,13.0
macd_turning,10461,29.3,-1.15,8.63,-5.2,-16.48,-12315.03,23.3,13.8
declining_sell_vol,39477,29.0,-1.23,8.41,-5.16,-35.06,-49326.64,22.7,13.2
rs_vs_btc,27122,27.4,-1.4,9.32,-5.44,-30.51,-38724.6,24.6,14.6
higher_lows,15088,24.1,-1.91,8.61,-5.25,-35.54,-28963.31,21.1,11.7
