label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1695,34.6,0.03,9.65,-5.05,0.16,-357.26,31.3,20.2
vol_velocity,4817,33.4,-0.44,8.67,-5.0,-4.05,-2235.51,27.5,16.4
vol_expansion,17171,32.9,-0.7,9.2,-5.56,-11.44,-12533.17,26.6,15.4
rsi_ignition,5057,31.8,-0.8,8.78,-5.26,-7.73,-4227.94,25.1,14.0
macd_crossover,4099,29.8,-0.99,8.5,-5.03,-9.11,-4148.26,24.2,14.5
trend_strong,40549,29.7,-1.02,8.74,-5.14,-28.76,-42234.11,25.7,15.4
rs_acceleration,9648,30.0,-1.02,9.37,-5.48,-13.43,-10145.43,28.0,18.0
atr_expanding,34215,29.3,-1.05,10.04,-5.63,-24.32,-36580.28,27.0,15.9
rsi_divergence,8357,29.8,-1.07,8.87,-5.27,-13.57,-9087.0,25.6,14.9
cmf,34877,29.7,-1.08,8.25,-5.02,-28.97,-38891.86,23.2,13.4
stealth_accum,16224,30.2,-1.09,7.02,-4.59,-22.36,-18143.88,20.5,10.7
rsi_in_zone,57285,29.9,-1.1,8.31,-5.1,-37.51,-64690.15,23.0,13.0
macd_turning,10815,29.5,-1.11,8.68,-5.2,-16.18,-12451.47,23.5,14.0
bb_squeeze,29917,29.0,-1.11,8.01,-4.83,-29.96,-33834.15,23.6,13.1
declining_sell_vol,40713,29.1,-1.2,8.49,-5.17,-34.34,-49735.34,23.0,13.4
rs_vs_btc,28056,27.1,-1.42,9.36,-5.43,-31.73,-40787.09,24.7,14.6
higher_lows,15608,24.7,-1.79,8.69,-5.23,-33.47,-29210.88,21.8,12.3
