label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1549,34.1,-0.08,9.65,-5.12,-0.42,-332.34,30.5,20.1
vol_velocity,4520,32.7,-0.53,8.71,-5.01,-4.75,-2626.51,27.1,16.0
vol_expansion,15746,32.5,-0.8,9.22,-5.61,-12.5,-13307.04,26.2,15.0
rsi_ignition,4663,31.2,-0.91,8.8,-5.31,-8.44,-4408.62,24.7,13.6
macd_crossover,3767,29.6,-1.03,8.52,-5.05,-9.06,-3967.38,24.1,14.5
trend_strong,37158,29.3,-1.08,8.77,-5.17,-29.23,-40701.7,25.4,15.3
stealth_accum,14950,30.1,-1.1,7.05,-4.6,-21.68,-16463.4,20.4,10.8
cmf,32295,29.6,-1.11,8.25,-5.05,-28.72,-36918.12,22.8,13.4
atr_expanding,31827,28.9,-1.13,10.05,-5.68,-25.32,-37124.2,26.6,15.7
bb_squeeze,27455,28.9,-1.15,7.89,-4.84,-29.98,-32169.18,23.1,13.0
rsi_divergence,7694,29.8,-1.16,8.64,-5.32,-14.25,-9399.83,24.9,14.4
rs_acceleration,8903,29.1,-1.16,9.48,-5.52,-14.59,-10741.22,27.5,17.6
rsi_in_zone,52797,29.5,-1.17,8.32,-5.13,-38.48,-62097.7,22.8,13.0
macd_turning,9979,28.7,-1.24,8.68,-5.23,-17.4,-12437.02,23.0,13.7
declining_sell_vol,37368,28.7,-1.28,8.47,-5.21,-35.19,-48179.81,22.7,13.3
rs_vs_btc,25640,27.2,-1.42,9.44,-5.49,-30.1,-36678.48,24.6,14.7
higher_lows,14369,24.2,-1.92,8.61,-5.28,-34.77,-27609.01,21.0,12.0
