label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1618,34.1,-0.06,9.68,-5.1,-0.3,-376.94,30.7,20.0
vol_velocity,4614,32.8,-0.53,8.68,-5.02,-4.78,-2537.6,27.1,16.1
vol_expansion,16390,32.4,-0.82,9.14,-5.61,-13.23,-14014.72,26.2,15.0
rsi_ignition,4845,31.6,-0.86,8.71,-5.29,-8.19,-4360.27,24.8,13.7
macd_crossover,3914,29.6,-1.03,8.47,-5.03,-9.3,-4128.42,24.1,14.5
trend_strong,38738,29.3,-1.08,8.78,-5.16,-29.77,-42599.94,25.5,15.4
rs_acceleration,9238,29.4,-1.11,9.43,-5.5,-14.29,-10539.16,27.6,17.8
atr_expanding,33195,28.9,-1.11,10.06,-5.65,-25.52,-37574.63,26.7,15.8
stealth_accum,15519,30.1,-1.11,7.0,-4.6,-22.42,-17793.96,20.4,10.8
cmf,33462,29.4,-1.12,8.29,-5.04,-29.59,-38934.41,23.0,13.4
rsi_divergence,7969,29.5,-1.15,8.76,-5.3,-14.35,-9366.46,25.1,14.6
rsi_in_zone,54786,29.5,-1.16,8.32,-5.12,-38.89,-65480.55,22.8,13.0
bb_squeeze,28451,28.7,-1.16,8.0,-4.83,-30.43,-33508.32,23.3,13.1
macd_turning,10343,28.9,-1.2,8.65,-5.21,-17.19,-12772.49,23.1,13.9
declining_sell_vol,38774,28.8,-1.26,8.48,-5.19,-35.27,-49748.37,22.8,13.4
rs_vs_btc,26794,27.0,-1.45,9.38,-5.46,-31.62,-39804.39,24.6,14.6
higher_lows,14929,24.6,-1.82,8.69,-5.25,-33.34,-28452.07,21.7,12.5
