label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.0,-0.06,9.73,-5.1,-0.33,-385.49,30.8,20.0
vol_velocity,4612,32.8,-0.53,8.68,-5.03,-4.8,-2569.79,27.1,16.1
vol_expansion,16391,32.4,-0.83,9.14,-5.6,-13.29,-14067.82,26.2,15.0
rsi_ignition,4845,31.2,-0.87,8.78,-5.25,-8.27,-4463.32,24.8,13.7
macd_crossover,3899,29.4,-1.04,8.55,-5.03,-9.33,-4146.54,24.2,14.6
trend_strong,38772,29.2,-1.08,8.79,-5.16,-29.91,-42650.6,25.5,15.4
rs_acceleration,9241,29.3,-1.11,9.44,-5.49,-14.32,-10741.33,27.6,17.7
atr_expanding,33195,28.9,-1.11,10.05,-5.65,-25.54,-37147.18,26.7,15.8
stealth_accum,15503,29.8,-1.12,7.04,-4.59,-22.57,-18592.31,20.4,10.8
cmf,33462,29.4,-1.12,8.29,-5.04,-29.62,-39566.25,23.0,13.5
bb_squeeze,28425,28.6,-1.16,8.03,-4.83,-30.56,-34054.46,23.4,13.1
rsi_in_zone,54741,29.3,-1.17,8.36,-5.11,-39.07,-65997.61,22.8,13.0
rsi_divergence,7948,29.1,-1.17,8.84,-5.29,-14.63,-9760.92,25.2,14.6
macd_turning,10340,28.6,-1.21,8.72,-5.19,-17.28,-12877.51,23.1,13.9
declining_sell_vol,38776,28.6,-1.26,8.53,-5.18,-35.35,-49988.41,22.8,13.4
rs_vs_btc,26781,26.9,-1.45,9.42,-5.45,-31.65,-39817.98,24.6,14.6
higher_lows,14935,24.6,-1.82,8.69,-5.24,-33.31,-28996.97,21.7,12.5
