label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1564,33.8,-0.11,9.7,-5.12,-0.54,-359.88,30.6,20.1
vol_velocity,4525,32.9,-0.5,8.69,-5.01,-4.51,-2505.58,27.2,16.2
vol_expansion,15800,32.6,-0.78,9.21,-5.6,-12.27,-13085.07,26.3,15.2
rsi_ignition,4635,31.3,-0.87,8.78,-5.27,-8.08,-4211.38,24.9,13.7
macd_crossover,3763,29.6,-1.01,8.57,-5.04,-8.85,-3869.68,24.3,14.6
trend_strong,37210,29.5,-1.06,8.76,-5.16,-28.68,-40018.91,25.4,15.4
stealth_accum,14931,30.1,-1.07,7.09,-4.59,-21.17,-16109.05,20.6,11.0
atr_expanding,31761,29.1,-1.1,10.04,-5.66,-24.63,-36127.85,26.8,15.9
cmf,32376,29.6,-1.11,8.24,-5.04,-28.84,-37045.11,22.9,13.4
rs_acceleration,8904,29.3,-1.13,9.46,-5.51,-14.25,-10491.72,27.6,17.7
bb_squeeze,27416,28.8,-1.14,7.99,-4.84,-29.63,-31817.37,23.4,13.2
rsi_in_zone,52766,29.5,-1.15,8.34,-5.12,-37.86,-61063.87,23.0,13.1
macd_turning,9929,29.0,-1.18,8.66,-5.19,-16.48,-11774.53,23.2,13.8
rsi_divergence,7553,28.9,-1.2,8.97,-5.33,-14.48,-9515.44,25.3,14.6
declining_sell_vol,37360,28.8,-1.25,8.47,-5.19,-34.52,-47174.32,22.8,13.3
rs_vs_btc,25824,27.2,-1.43,9.39,-5.47,-30.47,-37126.75,24.6,14.7
higher_lows,14385,24.4,-1.89,8.54,-5.26,-34.38,-27251.44,21.0,12.0
