label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1610,34.2,-0.04,9.71,-5.12,-0.22,-297.04,30.9,20.2
vol_velocity,4597,32.7,-0.51,8.76,-5.02,-4.6,-2445.95,27.3,16.2
vol_expansion,16276,32.5,-0.79,9.22,-5.61,-12.63,-13424.38,26.4,15.1
rsi_ignition,4803,31.5,-0.85,8.79,-5.28,-7.99,-4278.34,25.0,13.8
macd_crossover,3875,29.6,-1.02,8.58,-5.05,-9.05,-3958.25,24.4,14.7
trend_strong,38511,29.4,-1.05,8.8,-5.16,-28.76,-40939.5,25.6,15.5
stealth_accum,15332,30.0,-1.09,7.12,-4.6,-21.69,-16764.85,20.7,11.0
rs_acceleration,9231,29.4,-1.1,9.47,-5.5,-14.06,-10573.9,27.8,17.9
atr_expanding,33229,29.0,-1.1,10.04,-5.65,-25.16,-36958.82,26.8,15.8
cmf,33380,29.5,-1.11,8.3,-5.05,-29.25,-37860.22,23.1,13.5
macd_turning,10345,29.5,-1.14,8.56,-5.19,-16.28,-11955.32,23.3,13.9
rsi_in_zone,54498,29.4,-1.15,8.39,-5.13,-38.39,-63522.06,23.0,13.1
bb_squeeze,28352,28.6,-1.15,8.05,-4.84,-30.11,-32768.75,23.5,13.2
rsi_divergence,7852,28.8,-1.19,8.98,-5.31,-14.72,-9671.51,25.3,14.7
declining_sell_vol,38631,28.8,-1.24,8.52,-5.19,-34.6,-48468.18,23.0,13.5
rs_vs_btc,26637,27.0,-1.45,9.42,-5.47,-31.39,-38971.37,24.7,14.7
higher_lows,14912,24.7,-1.8,8.68,-5.25,-32.93,-27893.31,21.8,12.6
