name,symbol,id,market_cap,circulating_supply
Dear Algorithm,algo,dear-algorithm,4003.14,998683616.1
High AF,ath,high-af,4057.9,998506714.3
Comedian,ban,comedian,133211867,999961859.3
Beam,beam,beam-2,98250412,49466004168
Berachain,bera,berachain-bera,148687164,229187752.8
Currencycoin,cc,currencycoin,,1E+12
MultiversX,egld,elrond-erd-2,126302304,29518588
Elon Coin,elon,elon-coin,36.78,999834021.1
Artificial Superintelligence Alliance,fet,fetch-ai,439011422,2260140467
Filecoin,fil,filecoin,676762917,761600026
GALA,gala,gala,163007500,47452681844
Injective,inj,injective-protocol,306312925,100000000
Mog Coin,mog,mog-coin,62797258,3.90562E+14
MON Protocol,mon,mon-protocol,2137551,641343826.3
Rainbow Bridged Near (Ethereum),near,rainbow-bridged-near-ethereum,4696543,3534195.584
Midnight,night,midnight-3,840095581,16607399401
Pieverse,pieverse,pieverse,109496481,215000000
Stacks,stx,blockstack,465404594,1835053249
Tiamonds [OLD],tia,tia,211268,208057292.7
VeChain,vet,vechain,626446991,85985041177
Virtuals Protocol,virtual,virtual-protocol,475200990,656301970.3
Worldcoin,wld,worldcoin-wld,1045179535,2919142044
Zilliqa,zil,zilliqa,83465534,19948210516
LayerZero,zro,layerzero,414401616,202629028.1
