================================================================================
  PERP SCANNER v3.0  —  Bybit positioning radar
  Generated  : 2026-06-17 19:28:51
  Universe   : 724 Bybit perps  |  Scanned: 412
  Scan time  : 1.0s  |  BTC 1h: +0.36%
================================================================================

  Tiers — WATCH NOW: conviction ≥ 50, positive signals ≥ 3, no penalties
          ON RADAR : conviction ≥ 25, positive signals ≥ 2, no penalties

  Signals : OI building · funding neg · vol/OI surge · decoupling 1h
  Penalty : OI unwind · CROWDED LONG (extreme positive funding)

--------------------------------------------------------------------------------
  WATCH NOW  —  1 coin(s)
--------------------------------------------------------------------------------

  [ 1] H           conv= 81.6  sigs= 3  price=$0.200390      24h=-32.51%
       OI=$  16.1M  Δ=+14.93%  funding=-0.6821%/8h  vol/OI= 6.2x  1h=+0.00% (vs BTC -0.36%)
       → OI building, funding neg, vol/OI surge

--------------------------------------------------------------------------------
  ON RADAR   —  19 coin(s)
--------------------------------------------------------------------------------
  #   Symbol      Conv Sigs    OI $M    OI Δ     Fund%  V/OI  Signals
  ------------------------------------------------------------------------------
    1 PRL         56.7    2  $   1.4  +10.37%   -0.3075%   1.6  OI building, funding neg
    2 SPCX        55.6    2  $  14.3  +25.01%   +0.0114%   9.0  OI building, vol/OI surge
    3 BEAT        51.6    2  $  10.8  +10.65%   -0.0051%   9.3  OI building, vol/OI surge
    4 MITO        50.2    2  $   1.1  +55.62%   +0.0050%   4.6  OI building, vol/OI surge
    5 XPL         46.3    2  $  36.3  +14.58%   +0.0050%   2.8  OI building, vol/OI surge
    6 PORTAL      46.1    2  $   2.0   -0.27%   -0.0894%   5.2  funding neg, vol/OI surge
    7 INTC        45.4    2  $   4.1  +65.60%   +0.0106%   2.4  OI building, vol/OI surge
    8 B3          45.3    2  $   1.0  +48.49%   +0.0050%   2.4  OI building, vol/OI surge
    9 TAC         44.7    2  $   3.6  +28.25%   +0.0050%   2.1  OI building, vol/OI surge
   10 MSTR        43.6    2  $   1.2  +11.10%   +0.0100%   3.1  OI building, vol/OI surge
   11 BIO         42.6    2  $   6.6   +9.96%   +0.0050%   3.5  OI building, vol/OI surge
   12 2Z          41.7    2  $   1.2   +6.45%   -0.0193%   0.8  OI building, funding neg
   13 SQD         41.2    2  $   1.4   +4.36%   +0.0050%   8.3  OI building, vol/OI surge
   14 WAVES       39.7    2  $   0.9   -3.88%   -0.1578%   2.4  funding neg, vol/OI surge
   15 UNI         37.4    2  $  25.1   +4.64%   +0.0100%   5.1  OI building, vol/OI surge
   16 BANANAS31   37.1    2  $   1.5   +8.49%   +0.0050%   2.1  OI building, vol/OI surge
   17 MU          35.8    2  $   6.8   +6.81%   +0.0000%   2.8  OI building, vol/OI surge
   18 ZEC         32.3    2  $  73.9   -3.79%   -0.0203%   2.8  funding neg, vol/OI surge
   19 OPN         31.4    2  $   1.5   +3.21%   +0.0050%   3.5  OI building, vol/OI surge

================================================================================
