,close,high,low
2025-12-04 04:00:00,0.404496,0.411046,0.399012
2025-12-04 08:00:00,0.40379,0.405457,0.401856
2025-12-04 12:00:00,0.401349,0.404,0.399834
2025-12-04 16:00:00,0.406641,0.407978,0.397827
2025-12-04 20:00:00,0.400644,0.41341,0.393718
2025-12-05 00:00:00,0.383328,0.399872,0.382602
2025-12-05 04:00:00,0.380783,0.385543,0.379667
2025-12-05 08:00:00,0.392216,0.392216,0.380235
2025-12-05 12:00:00,0.382516,0.391862,0.382414
2025-12-05 16:00:00,0.379599,0.383916,0.375382
2025-12-05 20:00:00,0.366673,0.378634,0.360914
2025-12-06 00:00:00,0.371378,0.371378,0.363995
2025-12-06 04:00:00,0.371692,0.376622,0.368964
2025-12-06 08:00:00,0.372535,0.37339,0.370111
2025-12-06 12:00:00,0.377212,0.377212,0.369967
2025-12-06 16:00:00,0.374783,0.380132,0.373365
2025-12-06 20:00:00,0.373884,0.375656,0.372096
2025-12-07 00:00:00,0.379511,0.379551,0.373024
2025-12-07 04:00:00,0.380155,0.384549,0.37932
2025-12-07 08:00:00,0.37794,0.38117,0.377382
2025-12-07 12:00:00,0.37342,0.377397,0.372186
2025-12-07 16:00:00,0.367248,0.37609,0.362003
2025-12-07 20:00:00,0.381611,0.384786,0.368405
2025-12-08 00:00:00,0.36758,0.38184,0.365239
2025-12-08 04:00:00,0.378135,0.379946,0.367244
2025-12-08 08:00:00,0.384777,0.387891,0.378144
2025-12-08 12:00:00,0.38983,0.391133,0.384203
2025-12-08 16:00:00,0.390558,0.395602,0.388978
2025-12-08 20:00:00,0.386467,0.397718,0.383101
2025-12-09 00:00:00,0.388919,0.393094,0.385592
2025-12-09 04:00:00,0.384301,0.390355,0.381742
2025-12-09 08:00:00,0.383504,0.384925,0.378607
2025-12-09 12:00:00,0.384875,0.385658,0.38185
2025-12-09 16:00:00,0.406517,0.406517,0.385333
2025-12-09 20:00:00,0.443854,0.449141,0.407552
2025-12-10 00:00:00,0.437216,0.444025,0.425236
2025-12-10 04:00:00,0.43305,0.439819,0.426666
2025-12-10 08:00:00,0.421758,0.430168,0.420659
2025-12-10 12:00:00,0.404839,0.423102,0.402851
2025-12-10 16:00:00,0.404146,0.406605,0.404146
2025-12-10 20:00:00,0.409665,0.415223,0.403585
2025-12-11 00:00:00,0.392149,0.41801,0.390699
2025-12-11 04:00:00,0.372088,0.391657,0.371963
2025-12-11 08:00:00,0.385457,0.38593,0.37126
2025-12-11 12:00:00,0.38291,0.38477,0.378127
2025-12-11 16:00:00,0.389142,0.391949,0.380973
2025-12-11 20:00:00,0.397466,0.400567,0.387741
2025-12-12 00:00:00,0.403368,0.410905,0.396814
2025-12-12 04:00:00,0.397279,0.403279,0.395651
2025-12-12 08:00:00,0.395481,0.398659,0.390449
2025-12-12 12:00:00,0.397407,0.398378,0.393645
2025-12-12 16:00:00,0.38118,0.401672,0.38118
2025-12-12 20:00:00,0.38119,0.384595,0.369695
2025-12-13 00:00:00,0.389895,0.389956,0.381352
2025-12-13 04:00:00,0.393445,0.3947,0.389489
2025-12-13 08:00:00,0.398519,0.398519,0.39208
2025-12-13 12:00:00,0.396169,0.401006,0.395543
2025-12-13 16:00:00,0.397825,0.400433,0.395649
2025-12-13 20:00:00,0.399022,0.399761,0.396587
2025-12-14 00:00:00,0.396715,0.399228,0.396457
2025-12-14 04:00:00,0.395601,0.398064,0.394708
2025-12-14 08:00:00,0.394359,0.395796,0.388944
2025-12-14 12:00:00,0.394243,0.399451,0.393482
2025-12-14 16:00:00,0.387901,0.395338,0.387901
2025-12-14 20:00:00,0.382893,0.391149,0.380689
2025-12-15 00:00:00,0.379511,0.385291,0.378706
2025-12-15 04:00:00,0.390208,0.391987,0.379436
2025-12-15 08:00:00,0.390632,0.394985,0.389443
2025-12-15 12:00:00,0.395467,0.397356,0.391012
2025-12-15 16:00:00,0.376176,0.403784,0.373727
2025-12-15 20:00:00,0.36733,0.375527,0.3641
2025-12-16 00:00:00,0.373429,0.373846,0.362545
2025-12-16 04:00:00,0.370206,0.37457,0.36633
2025-12-16 08:00:00,0.362599,0.370071,0.362124
2025-12-16 12:00:00,0.376384,0.376958,0.362436
2025-12-16 16:00:00,0.375218,0.376751,0.369033
2025-12-16 20:00:00,0.377988,0.379345,0.371335
2025-12-17 00:00:00,0.379084,0.380234,0.376983
2025-12-17 04:00:00,0.375759,0.380745,0.375671
2025-12-17 08:00:00,0.374494,0.377456,0.37076
2025-12-17 12:00:00,0.372292,0.374619,0.370156
2025-12-17 16:00:00,0.380829,0.399113,0.371547
2025-12-17 20:00:00,0.358637,0.3821,0.351682
2025-12-18 00:00:00,0.353951,0.359759,0.352579
2025-12-18 04:00:00,0.351867,0.354844,0.351042
2025-12-18 08:00:00,0.34773,0.354024,0.345389
2025-12-18 12:00:00,0.350851,0.352719,0.347663
2025-12-18 16:00:00,0.367588,0.370684,0.350399
2025-12-18 20:00:00,0.326971,0.366123,0.326971
2025-12-19 00:00:00,0.329376,0.336009,0.325829
2025-12-19 04:00:00,0.345365,0.345365,0.328574
2025-12-19 08:00:00,0.344134,0.34733,0.340136
2025-12-19 12:00:00,0.344607,0.345016,0.341966
2025-12-19 16:00:00,0.352859,0.357014,0.343809
2025-12-19 20:00:00,0.35795,0.360001,0.346416
2025-12-20 00:00:00,0.356576,0.359006,0.355701
2025-12-20 04:00:00,0.354658,0.357,0.353404
